date,book,nav,priced_nav,cash,long_value,short_value,capital,holdings,priced,partial,missing,basis_break,benchmark,benchmark_close,computed_at
2026-09-23,hedge,1000000,1000000,1000000,0,0,1000000,0,0,,,,^GSPC,7706.029785,2026-09-24T23:25:27+00:00
2026-09-24,hedge,1000000,1000000,1000000,0,0,1000000,0,0,,,,^GSPC,7704.129883,2026-09-24T23:25:27+00:00
2026-09-23,neural,1000000,1000000,1000000,0,0,1000000,0,0,,,,^GSPC,7706.029785,2026-09-24T23:25:27+00:00
2026-09-24,neural,1000000,1000000,1000000,0,0,1000000,0,0,,,,^GSPC,7704.129883,2026-09-24T23:25:27+00:00
