date,call_id,ticker,stance,status,days_elapsed,start_date,start_close,close,stock_return,call_return,sector_etf,sector_start,sector_close,sector_return,excess_sector,spy_start,spy_close,spy_return,excess_spy,target_price,progress_to_target,thresholds_crossed,flags,computed_at
2026-09-23,CF-2026-09-12-1,CF,long,ok,13,2026-09-10,135.11,120.64,-0.107098,-0.107098,XLB,50.759998,50.279999,-0.009456,-0.097642,7591.700195,7706.029785,0.01506,-0.122158,152,-0.85672,,,2026-09-24T23:25:27+00:00
2026-09-24,CF-2026-09-12-1,CF,long,ok,14,2026-09-10,135.11,118.44,-0.123381,-0.123381,XLB,50.759998,49.68,-0.021277,-0.102104,7591.700195,7704.129883,0.01481,-0.138191,152,-0.986975,,,2026-09-24T23:25:27+00:00
2026-09-18,CF-2026-09-19-2,CF,avoid,ok,0,2026-09-18,127.7,127.7,0,,XLB,49.990002,49.990002,0,0,7650.5,7650.5,0,0,104,0,,,2026-09-24T23:25:27+00:00
2026-09-21,CF-2026-09-19-2,CF,avoid,ok,3,2026-09-18,127.7,123.27,-0.034691,,XLB,49.990002,49.709999,-0.005601,0.02909,7650.5,7764.700195,0.014927,0.049618,104,0.18692,,,2026-09-24T23:25:27+00:00
2026-09-22,CF-2026-09-19-2,CF,avoid,skipped,4,2026-09-18,127.7,,,,XLB,49.990002,,,,7650.5,,,,104,,,no stored close for CF on 2026-09-22; no stored XLB close on 2026-09-22; no stored ^GSPC close on 2026-09-22,2026-09-24T23:25:27+00:00
2026-09-23,CF-2026-09-19-2,CF,avoid,ok,5,2026-09-18,127.7,120.64,-0.055286,,XLB,49.990002,50.279999,0.005801,0.061087,7650.5,7706.029785,0.007258,0.062544,104,0.29789,,,2026-09-24T23:25:27+00:00
2026-09-24,CF-2026-09-19-2,CF,avoid,ok,6,2026-09-18,127.7,118.44,-0.072514,,XLB,49.990002,49.68,-0.006201,0.066312,7650.5,7704.129883,0.00701,0.079524,104,0.390717,,,2026-09-24T23:25:27+00:00
2026-09-22,HIMS-2026-09-22-2,HIMS,avoid,partial,0,2026-09-22,30.43,30.43,0,,XLV,,,,,,,,,22,0,,no stored XLV close on 2026-09-22; no stored ^GSPC close on 2026-09-22,2026-09-24T23:25:27+00:00
2026-09-23,HIMS-2026-09-22-2,HIMS,avoid,partial,1,2026-09-22,30.43,28.39,-0.067039,,XLV,,168.800003,,,,7706.029785,,,22,0.241993,,no stored XLV close on 2026-09-22; no stored ^GSPC close on 2026-09-22,2026-09-24T23:25:27+00:00
2026-09-24,HIMS-2026-09-22-2,HIMS,avoid,partial,2,2026-09-22,30.43,29.28,-0.037792,,XLV,,169.869995,,,,7704.129883,,,22,0.136418,,no stored XLV close on 2026-09-22; no stored ^GSPC close on 2026-09-22,2026-09-24T23:25:27+00:00
2026-09-25,HIMS-2026-09-12-1,HIMS,avoid,partial,15,2026-09-10,27.44,29.42,0.072157,,XLV,165.660004,,,,7591.700195,,,,22,-0.363971,,no stored XLV close on 2026-09-25; no stored ^GSPC close on 2026-09-25,2026-09-25T23:22:37+00:00
2026-09-22,CF-2026-09-12-1,CF,long,partial,12,2026-09-10,135.11,120.59,-0.107468,-0.107468,XLB,50.759998,,,,7591.700195,,,,152,-0.85968,,no stored XLB close on 2026-09-22; no stored ^GSPC close on 2026-09-22,2026-09-25T23:22:37+00:00
2026-09-25,CF-2026-09-12-1,CF,long,partial,15,2026-09-10,135.11,114.67,-0.151284,-0.151284,XLB,50.759998,,,,7591.700195,,,,152,-1.210184,,no stored XLB close on 2026-09-25; no stored ^GSPC close on 2026-09-25,2026-09-25T23:22:37+00:00
2026-09-22,CF-2026-09-19-2,CF,avoid,partial,4,2026-09-18,127.7,120.59,-0.055677,,XLB,49.990002,,,,7650.5,,,,104,0.3,,no stored XLB close on 2026-09-22; no stored ^GSPC close on 2026-09-22,2026-09-25T23:22:37+00:00
2026-09-25,CF-2026-09-19-2,CF,avoid,partial,7,2026-09-18,127.7,114.67,-0.102036,,XLB,49.990002,,,,7650.5,,,,104,0.549789,,no stored XLB close on 2026-09-25; no stored ^GSPC close on 2026-09-25,2026-09-25T23:22:37+00:00
2026-09-25,HIMS-2026-09-22-2,HIMS,avoid,partial,3,2026-09-22,30.43,29.42,-0.033191,,XLV,,,,,,,,,22,0.11981,,no stored XLV close on 2026-09-22; no stored ^GSPC close on 2026-09-22,2026-09-25T23:22:37+00:00
