trade_id,date,book,ticker,side,shares,price,cost,lot_id,reason_code,decision_id
lg-growth-2026-09-23-027,2026-09-23,lg-growth,NVDA,buy,126,225.51,14.21,lg-growth-2026-09-23-027,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-028,2026-09-23,lg-growth,JPM,buy,84,337.53,14.18,lg-growth-2026-09-23-028,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-029,2026-09-23,lg-growth,HWM,buy,124,228.78,14.18,lg-growth-2026-09-23-029,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-030,2026-09-23,lg-growth,E,buy,520,54.83,14.26,lg-growth-2026-09-23-030,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-031,2026-09-23,lg-growth,BA,buy,142,199.93,14.2,lg-growth-2026-09-23-031,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-032,2026-09-23,lg-growth,AMGN,buy,70,406.09,14.21,lg-growth-2026-09-23-032,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-033,2026-09-23,lg-growth,ENB,buy,596,47.85,14.26,lg-growth-2026-09-23-033,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-034,2026-09-23,lg-growth,CAT,buy,35,812.02,14.21,lg-growth-2026-09-23-034,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-035,2026-09-23,lg-growth,GOOGL,buy,84,337.83,14.19,lg-growth-2026-09-23-035,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-036,2026-09-23,lg-growth,BP,buy,641,44.49,14.26,lg-growth-2026-09-23-036,rules_inception,lg-growth-2026-09-23-2
lg-core-2026-09-23-001,2026-09-23,lg-core,CASH,deposit,1000000,1,0,,inception_capital,lg-core-2026-09-23-2
lg-core-2026-09-23-002,2026-09-23,lg-core,BRK.B,buy,56,507.17,14.2,lg-core-2026-09-23-002,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-003,2026-09-23,lg-core,MELI,buy,15,1799.24,13.49,lg-core-2026-09-23-003,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-004,2026-09-23,lg-core,LOW,buy,149,191.36,14.26,lg-core-2026-09-23-004,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-005,2026-09-23,lg-core,EQNR,buy,665,42.9,14.26,lg-core-2026-09-23-005,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-006,2026-09-23,lg-core,APH,buy,347,82.19,14.26,lg-core-2026-09-23-006,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-007,2026-09-23,lg-core,REGN,buy,35,801.82,14.03,lg-core-2026-09-23-007,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-008,2026-09-23,lg-core,RIO,buy,299,95.25,14.24,lg-core-2026-09-23-008,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-009,2026-09-23,lg-core,ANET,buy,140,203.47,14.24,lg-core-2026-09-23-009,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-010,2026-09-23,lg-core,TM,buy,150,190.36,14.28,lg-core-2026-09-23-010,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-011,2026-09-23,lg-core,FTNT,buy,159,178.74,14.21,lg-core-2026-09-23-011,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-012,2026-09-23,lg-core,MCK,buy,32,880.5,14.09,lg-core-2026-09-23-012,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-013,2026-09-23,lg-core,EOG,buy,201,141.84,14.25,lg-core-2026-09-23-013,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-014,2026-09-23,lg-core,TT,buy,65,437.09,14.21,lg-core-2026-09-23-014,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-015,2026-09-23,lg-core,ROST,buy,122,233.98,14.27,lg-core-2026-09-23-015,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-016,2026-09-23,lg-core,PEP,buy,219,130.18,14.25,lg-core-2026-09-23-016,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-017,2026-09-23,lg-core,MSFT,buy,57,500.59,14.27,lg-core-2026-09-23-017,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-018,2026-09-23,lg-core,ASML,buy,16,1744.61,13.96,lg-core-2026-09-23-018,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-019,2026-09-23,lg-core,TJX,buy,217,131.59,14.28,lg-core-2026-09-23-019,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-020,2026-09-23,lg-core,COP,buy,222,128.09,14.22,lg-core-2026-09-23-020,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-021,2026-09-23,lg-core,ADI,buy,74,385.23,14.25,lg-core-2026-09-23-021,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-022,2026-09-23,lg-core,BBVA,buy,1016,28.09,14.27,lg-core-2026-09-23-022,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-023,2026-09-23,lg-core,AMAT,buy,60,474.38,14.23,lg-core-2026-09-23-023,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-024,2026-09-23,lg-core,SCCO,buy,141,201.94,14.24,lg-core-2026-09-23-024,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-025,2026-09-23,lg-core,DUK,buy,250,114.17,14.27,lg-core-2026-09-23-025,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-026,2026-09-23,lg-core,META,buy,38,744.1,14.14,lg-core-2026-09-23-026,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-027,2026-09-23,lg-core,SHW,buy,87,326.46,14.2,lg-core-2026-09-23-027,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-028,2026-09-23,lg-core,TXN,buy,104,272.62,14.18,lg-core-2026-09-23-028,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-029,2026-09-23,lg-core,UBS,buy,598,47.74,14.27,lg-core-2026-09-23-029,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-030,2026-09-23,lg-core,CSX,buy,605,47.19,14.27,lg-core-2026-09-23-030,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-031,2026-09-23,lg-core,PH,buy,29,971.21,14.08,lg-core-2026-09-23-031,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-032,2026-09-23,lg-core,COST,buy,31,904.7,14.02,lg-core-2026-09-23-032,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-033,2026-09-23,lg-core,MDT,buy,319,89.3,14.24,lg-core-2026-09-23-033,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-034,2026-09-23,lg-core,BNS,buy,309,92.25,14.25,lg-core-2026-09-23-034,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-035,2026-09-23,lg-core,MFC,buy,654,43.6,14.26,lg-core-2026-09-23-035,rules_inception,lg-core-2026-09-23-2
lg-core-2026-09-23-036,2026-09-23,lg-core,CM,buy,256,111.45,14.27,lg-core-2026-09-23-036,rules_inception,lg-core-2026-09-23-2
lg-value-2026-09-23-001,2026-09-23,lg-value,CASH,deposit,1000000,1,0,,inception_capital,lg-value-2026-09-23-2
lg-value-2026-09-23-002,2026-09-23,lg-value,NVO,buy,748,38.17,14.28,lg-value-2026-09-23-002,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-003,2026-09-23,lg-value,ACN,buy,155,183.52,14.22,lg-value-2026-09-23-003,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-004,2026-09-23,lg-value,ADBE,buy,118,240.69,14.2,lg-value-2026-09-23-004,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-005,2026-09-23,lg-value,UBER,buy,411,69.42,14.27,lg-value-2026-09-23-005,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-006,2026-09-23,lg-value,INTU,buy,99,286.8,14.2,lg-value-2026-09-23-006,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-007,2026-09-23,lg-value,BCS,buy,1175,24.29,14.27,lg-value-2026-09-23-007,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-008,2026-09-23,lg-value,GD,buy,83,343.33,14.25,lg-value-2026-09-23-008,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-009,2026-09-23,lg-value,COF,buy,145,196.1,14.22,lg-value-2026-09-23-009,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-010,2026-09-23,lg-value,TSM,buy,63,446.57,14.07,lg-value-2026-09-23-010,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-011,2026-09-23,lg-value,CRM,buy,120,237.58,14.25,lg-value-2026-09-23-011,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-012,2026-09-23,lg-value,LMT,buy,54,524.68,14.17,lg-value-2026-09-23-012,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-013,2026-09-23,lg-value,CVS,buy,332,85.86,14.25,lg-value-2026-09-23-013,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-014,2026-09-23,lg-value,HCA,buy,65,436.48,14.19,lg-value-2026-09-23-014,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-015,2026-09-23,lg-value,T,buy,1128,25.3,14.27,lg-value-2026-09-23-015,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-016,2026-09-23,lg-value,ELV,buy,71,398.56,14.15,lg-value-2026-09-23-016,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-017,2026-09-23,lg-value,TRV,buy,79,360.39,14.24,lg-value-2026-09-23-017,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-018,2026-09-23,lg-value,BMY,buy,467,61.15,14.28,lg-value-2026-09-23-018,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-019,2026-09-23,lg-value,VZ,buy,613,46.52,14.26,lg-value-2026-09-23-019,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-020,2026-09-23,lg-value,IBM,buy,122,232.76,14.2,lg-value-2026-09-23-020,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-021,2026-09-23,lg-value,USB,buy,488,58.48,14.27,lg-value-2026-09-23-021,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-022,2026-09-23,lg-value,HPE,buy,458,62.33,14.27,lg-value-2026-09-23-022,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-023,2026-09-23,lg-value,PGR,buy,140,203.13,14.22,lg-value-2026-09-23-023,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-024,2026-09-23,lg-value,NEM,buy,231,123.55,14.27,lg-value-2026-09-23-024,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-025,2026-09-23,lg-value,WFC,buy,348,81.9,14.25,lg-value-2026-09-23-025,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-026,2026-09-23,lg-value,BAC,buy,509,56,14.25,lg-value-2026-09-23-026,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-027,2026-09-23,lg-value,CP,buy,323,88.28,14.26,lg-value-2026-09-23-027,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-028,2026-09-23,lg-value,RTX,buy,148,192.19,14.22,lg-value-2026-09-23-028,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-029,2026-09-23,lg-value,UNP,buy,103,275.53,14.19,lg-value-2026-09-23-029,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-030,2026-09-23,lg-value,ADP,buy,108,263.68,14.24,lg-value-2026-09-23-030,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-031,2026-09-23,lg-value,PNC,buy,127,224.03,14.23,lg-value-2026-09-23-031,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-032,2026-09-23,lg-value,TMUS,buy,172,165.66,14.25,lg-value-2026-09-23-032,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-033,2026-09-23,lg-value,KLAC,buy,152,187.86,14.28,lg-value-2026-09-23-033,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-034,2026-09-23,lg-value,MO,buy,414,68.95,14.27,lg-value-2026-09-23-034,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-035,2026-09-23,lg-value,SNPS,buy,69,413.06,14.25,lg-value-2026-09-23-035,rules_inception,lg-value-2026-09-23-2
lg-value-2026-09-23-036,2026-09-23,lg-value,TTE,buy,311,91.67,14.25,lg-value-2026-09-23-036,rules_inception,lg-value-2026-09-23-2
mid-growth-2026-09-23-001,2026-09-23,mid-growth,CASH,deposit,1000000,1,0,,inception_capital,mid-growth-2026-09-23-2
mid-growth-2026-09-23-002,2026-09-23,mid-growth,BBIO,buy,434,65.71,14.26,mid-growth-2026-09-23-002,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-003,2026-09-23,mid-growth,SQM,buy,413,69.08,14.27,mid-growth-2026-09-23-003,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-004,2026-09-23,mid-growth,EQX,buy,2369,12.05,14.27,mid-growth-2026-09-23-004,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-005,2026-09-23,mid-growth,NLY,buy,1357,21.04,14.28,mid-growth-2026-09-23-005,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-006,2026-09-23,mid-growth,TECK,buy,427,66.8,14.26,mid-growth-2026-09-23-006,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-007,2026-09-23,mid-growth,AS,buy,1061,26.9,14.27,mid-growth-2026-09-23-007,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-008,2026-09-23,mid-growth,FWONK,buy,306,93.25,14.27,mid-growth-2026-09-23-008,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-009,2026-09-23,mid-growth,SITM,buy,46,608.91,14,mid-growth-2026-09-23-009,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-010,2026-09-23,mid-growth,CPT,buy,292,97.68,14.26,mid-growth-2026-09-23-010,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-011,2026-09-23,mid-growth,STRL,buy,55,512,14.08,mid-growth-2026-09-23-011,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-012,2026-09-23,mid-growth,BSP,buy,824,34.64,14.27,mid-growth-2026-09-23-012,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-013,2026-09-23,mid-growth,RDDT,buy,187,151.98,14.21,mid-growth-2026-09-23-013,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-014,2026-09-23,mid-growth,TPG,buy,635,44.93,14.27,mid-growth-2026-09-23-014,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-015,2026-09-23,mid-growth,TGTX,buy,509,56,14.25,mid-growth-2026-09-23-015,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-016,2026-09-23,mid-growth,MOG.A,buy,76,374.98,14.25,mid-growth-2026-09-23-016,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-017,2026-09-23,mid-growth,SMCI,buy,689,41.44,14.28,mid-growth-2026-09-23-017,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-018,2026-09-23,mid-growth,ALAB,buy,79,360.46,14.24,mid-growth-2026-09-23-018,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-019,2026-09-23,mid-growth,CRWV,buy,328,86.9,14.25,mid-growth-2026-09-23-019,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-020,2026-09-23,mid-growth,DD,buy,218,130.88,14.27,mid-growth-2026-09-23-020,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-021,2026-09-23,mid-growth,WPM,buy,196,145.45,14.25,mid-growth-2026-09-23-021,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-022,2026-09-23,mid-growth,IAG,buy,1435,19.89,14.27,mid-growth-2026-09-23-022,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-023,2026-09-23,mid-growth,FRO,buy,600,47.56,14.27,mid-growth-2026-09-23-023,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-024,2026-09-23,mid-growth,NU,buy,2096,13.62,14.27,mid-growth-2026-09-23-024,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-025,2026-09-23,mid-growth,HNGE,buy,309,92.28,14.26,mid-growth-2026-09-23-025,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-026,2026-09-23,mid-growth,CDE,buy,1478,19.32,14.28,mid-growth-2026-09-23-026,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-027,2026-09-23,mid-growth,KTOS,buy,618,46.16,14.26,mid-growth-2026-09-23-027,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-028,2026-09-23,mid-growth,FIX,buy,17,1625.9,13.82,mid-growth-2026-09-23-028,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-029,2026-09-23,mid-growth,EMBJ,buy,378,75.43,14.26,mid-growth-2026-09-23-029,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-030,2026-09-23,mid-growth,INSM,buy,241,118.34,14.26,mid-growth-2026-09-23-030,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-031,2026-09-23,mid-growth,LGN,buy,539,52.92,14.26,mid-growth-2026-09-23-031,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-032,2026-09-23,mid-growth,MDLN,buy,832,34.3,14.27,mid-growth-2026-09-23-032,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-033,2026-09-23,mid-growth,BVN,buy,854,33.42,14.27,mid-growth-2026-09-23-033,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-034,2026-09-23,mid-growth,GKOS,buy,186,153.49,14.27,mid-growth-2026-09-23-034,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-035,2026-09-23,mid-growth,CVE,buy,918,31.08,14.27,mid-growth-2026-09-23-035,rules_inception,mid-growth-2026-09-23-2
mid-growth-2026-09-23-036,2026-09-23,mid-growth,ALSN,buy,249,114.59,14.27,mid-growth-2026-09-23-036,rules_inception,mid-growth-2026-09-23-2
mid-core-2026-09-23-001,2026-09-23,mid-core,CASH,deposit,1000000,1,0,,inception_capital,mid-core-2026-09-23-2
mid-core-2026-09-23-002,2026-09-23,mid-core,HMY,buy,1524,18.73,14.27,mid-core-2026-09-23-002,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-003,2026-09-23,mid-core,UMC,buy,1157,24.68,14.28,mid-core-2026-09-23-003,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-004,2026-09-23,mid-core,EXPE,buy,110,259.04,14.25,mid-core-2026-09-23-004,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-005,2026-09-23,mid-core,KGC,buy,1033,27.62,14.27,mid-core-2026-09-23-005,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-006,2026-09-23,mid-core,BTG,buy,5337,5.35,14.28,mid-core-2026-09-23-006,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-007,2026-09-23,mid-core,NFG,buy,363,78.61,14.27,mid-core-2026-09-23-007,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-008,2026-09-23,mid-core,B,buy,672,42.49,14.28,mid-core-2026-09-23-008,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-009,2026-09-23,mid-core,ALLY,buy,740,38.58,14.27,mid-core-2026-09-23-009,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-010,2026-09-23,mid-core,AU,buy,289,98.74,14.27,mid-core-2026-09-23-010,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-011,2026-09-23,mid-core,ZION,buy,455,62.65,14.25,mid-core-2026-09-23-011,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-012,2026-09-23,mid-core,AGCO,buy,234,121.68,14.24,mid-core-2026-09-23-012,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-013,2026-09-23,mid-core,EVR,buy,109,259.89,14.16,mid-core-2026-09-23-013,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-014,2026-09-23,mid-core,CART,buy,664,42.96,14.26,mid-core-2026-09-23-014,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-015,2026-09-23,mid-core,ZTS,buy,398,71.61,14.25,mid-core-2026-09-23-015,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-016,2026-09-23,mid-core,DVN,buy,594,48.04,14.27,mid-core-2026-09-23-016,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-017,2026-09-23,mid-core,DLTR,buy,252,113.16,14.26,mid-core-2026-09-23-017,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-018,2026-09-23,mid-core,JLL,buy,88,324.06,14.26,mid-core-2026-09-23-018,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-019,2026-09-23,mid-core,JHX,buy,1063,26.85,14.27,mid-core-2026-09-23-019,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-020,2026-09-23,mid-core,CHRD,buy,207,137.72,14.25,mid-core-2026-09-23-020,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-021,2026-09-23,mid-core,PAAS,buy,593,48.11,14.26,mid-core-2026-09-23-021,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-022,2026-09-23,mid-core,CSL,buy,88,323.96,14.25,mid-core-2026-09-23-022,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-023,2026-09-23,mid-core,TRU,buy,402,70.95,14.26,mid-core-2026-09-23-023,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-024,2026-09-23,mid-core,BBY,buy,314,90.8,14.26,mid-core-2026-09-23-024,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-025,2026-09-23,mid-core,RGA,buy,115,246.75,14.19,mid-core-2026-09-23-025,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-026,2026-09-23,mid-core,MANH,buy,135,210.37,14.2,mid-core-2026-09-23-026,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-027,2026-09-23,mid-core,TEL,buy,133,214.39,14.26,mid-core-2026-09-23-027,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-028,2026-09-23,mid-core,CDW,buy,195,146.16,14.25,mid-core-2026-09-23-028,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-029,2026-09-23,mid-core,WMS,buy,220,129.74,14.27,mid-core-2026-09-23-029,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-030,2026-09-23,mid-core,ADSK,buy,131,217.15,14.22,mid-core-2026-09-23-030,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-031,2026-09-23,mid-core,DINO,buy,269,106.14,14.28,mid-core-2026-09-23-031,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-032,2026-09-23,mid-core,MA,buy,51,559.92,14.28,mid-core-2026-09-23-032,rules_inception,mid-core-2026-09-23-2
mid-core-2026-09-23-033,2026-09-23,mid-core,EG,buy,76,372.36,14.15,mid-core-2026-09-23-033,rules_inception,mid-core-2026-09-23-2
