date,book,decision_id,mandate
2026-09-23,hedge,hedge-2026-09-23-1,"{""benchmarks"":[""^GSPC"",""cash""],""gross_max"":2.0,""holdings_range_per_side"":[20,60],""long_only"":false,""max_long_position"":0.05,""max_short_position"":0.03,""net_range"":[-0.2,0.6],""universe"":""operating""}"
2026-09-23,neural,neural-2026-09-23-1,"{""benchmarks"":[""^GSPC""],""data"":""repository only, no internet"",""gross_max"":2.0,""long_only"":false,""universe"":""stored_close""}"
